Topik_ID,Kategori,Nama_Topik,Rank,Kata,Skor_cTFIDF,Keyword_Ditemukan,Coverage,Keyword_Kategori_Lengkap
0,Nasional & Pemerintahan,0_extra com_nasional_extra bukan_extra n,1,extra com,0.034508,,0/64,anggaran|aparatur|apbd|apbn|asn|badan|bansos|bantuan sosial|birokrasi|blt|bpk|bpn|bps|brin|bupati|daerah|direktorat|dirjen|dprd|e-government|gubernur|ibu kota nusantara|ibukota|ikn|infrastruktur nasional|inpres|jokowi|kabinet|kebijakan|kemendag|kemendikbud|kemenhub|kemenkes|kementan|kementerian|keppres|komisi|lembaga|menteri|otonomi|pembangunan|pemda|pemerintah|pengadaan|peraturan|perda|perpres|pkh|pns|pp|prabowo|presiden|proyek|proyek nasional|reformasi birokrasi|regulasi|ruu|sekretariat|subsidi|tender|undang-undang|uu|walikota|wapres
0,Nasional & Pemerintahan,0_extra com_nasional_extra bukan_extra n,2,nasional,0.02795,,0/64,anggaran|aparatur|apbd|apbn|asn|badan|bansos|bantuan sosial|birokrasi|blt|bpk|bpn|bps|brin|bupati|daerah|direktorat|dirjen|dprd|e-government|gubernur|ibu kota nusantara|ibukota|ikn|infrastruktur nasional|inpres|jokowi|kabinet|kebijakan|kemendag|kemendikbud|kemenhub|kemenkes|kementan|kementerian|keppres|komisi|lembaga|menteri|otonomi|pembangunan|pemda|pemerintah|pengadaan|peraturan|perda|perpres|pkh|pns|pp|prabowo|presiden|proyek|proyek nasional|reformasi birokrasi|regulasi|ruu|sekretariat|subsidi|tender|undang-undang|uu|walikota|wapres
0,Nasional & Pemerintahan,0_extra com_nasional_extra bukan_extra n,3,extra bukan,0.026595,,0/64,anggaran|aparatur|apbd|apbn|asn|badan|bansos|bantuan sosial|birokrasi|blt|bpk|bpn|bps|brin|bupati|daerah|direktorat|dirjen|dprd|e-government|gubernur|ibu kota nusantara|ibukota|ikn|infrastruktur nasional|inpres|jokowi|kabinet|kebijakan|kemendag|kemendikbud|kemenhub|kemenkes|kementan|kementerian|keppres|komisi|lembaga|menteri|otonomi|pembangunan|pemda|pemerintah|pengadaan|peraturan|perda|perpres|pkh|pns|pp|prabowo|presiden|proyek|proyek nasional|reformasi birokrasi|regulasi|ruu|sekretariat|subsidi|tender|undang-undang|uu|walikota|wapres
0,Nasional & Pemerintahan,0_extra com_nasional_extra bukan_extra n,4,extra nasional,0.026523,,0/64,anggaran|aparatur|apbd|apbn|asn|badan|bansos|bantuan sosial|birokrasi|blt|bpk|bpn|bps|brin|bupati|daerah|direktorat|dirjen|dprd|e-government|gubernur|ibu kota nusantara|ibukota|ikn|infrastruktur nasional|inpres|jokowi|kabinet|kebijakan|kemendag|kemendikbud|kemenhub|kemenkes|kementan|kementerian|keppres|komisi|lembaga|menteri|otonomi|pembangunan|pemda|pemerintah|pengadaan|peraturan|perda|perpres|pkh|pns|pp|prabowo|presiden|proyek|proyek nasional|reformasi birokrasi|regulasi|ruu|sekretariat|subsidi|tender|undang-undang|uu|walikota|wapres
0,Nasional & Pemerintahan,0_extra com_nasional_extra bukan_extra n,5,bukan extra,0.023951,,0/64,anggaran|aparatur|apbd|apbn|asn|badan|bansos|bantuan sosial|birokrasi|blt|bpk|bpn|bps|brin|bupati|daerah|direktorat|dirjen|dprd|e-government|gubernur|ibu kota nusantara|ibukota|ikn|infrastruktur nasional|inpres|jokowi|kabinet|kebijakan|kemendag|kemendikbud|kemenhub|kemenkes|kementan|kementerian|keppres|komisi|lembaga|menteri|otonomi|pembangunan|pemda|pemerintah|pengadaan|peraturan|perda|perpres|pkh|pns|pp|prabowo|presiden|proyek|proyek nasional|reformasi birokrasi|regulasi|ruu|sekretariat|subsidi|tender|undang-undang|uu|walikota|wapres
0,Nasional & Pemerintahan,0_extra com_nasional_extra bukan_extra n,6,extra umim,0.021972,,0/64,anggaran|aparatur|apbd|apbn|asn|badan|bansos|bantuan sosial|birokrasi|blt|bpk|bpn|bps|brin|bupati|daerah|direktorat|dirjen|dprd|e-government|gubernur|ibu kota nusantara|ibukota|ikn|infrastruktur nasional|inpres|jokowi|kabinet|kebijakan|kemendag|kemendikbud|kemenhub|kemenkes|kementan|kementerian|keppres|komisi|lembaga|menteri|otonomi|pembangunan|pemda|pemerintah|pengadaan|peraturan|perda|perpres|pkh|pns|pp|prabowo|presiden|proyek|proyek nasional|reformasi birokrasi|regulasi|ruu|sekretariat|subsidi|tender|undang-undang|uu|walikota|wapres
0,Nasional & Pemerintahan,0_extra com_nasional_extra bukan_extra n,7,umim,0.021927,,0/64,anggaran|aparatur|apbd|apbn|asn|badan|bansos|bantuan sosial|birokrasi|blt|bpk|bpn|bps|brin|bupati|daerah|direktorat|dirjen|dprd|e-government|gubernur|ibu kota nusantara|ibukota|ikn|infrastruktur nasional|inpres|jokowi|kabinet|kebijakan|kemendag|kemendikbud|kemenhub|kemenkes|kementan|kementerian|keppres|komisi|lembaga|menteri|otonomi|pembangunan|pemda|pemerintah|pengadaan|peraturan|perda|perpres|pkh|pns|pp|prabowo|presiden|proyek|proyek nasional|reformasi birokrasi|regulasi|ruu|sekretariat|subsidi|tender|undang-undang|uu|walikota|wapres
0,Nasional & Pemerintahan,0_extra com_nasional_extra bukan_extra n,8,nasional extra,0.021895,,0/64,anggaran|aparatur|apbd|apbn|asn|badan|bansos|bantuan sosial|birokrasi|blt|bpk|bpn|bps|brin|bupati|daerah|direktorat|dirjen|dprd|e-government|gubernur|ibu kota nusantara|ibukota|ikn|infrastruktur nasional|inpres|jokowi|kabinet|kebijakan|kemendag|kemendikbud|kemenhub|kemenkes|kementan|kementerian|keppres|komisi|lembaga|menteri|otonomi|pembangunan|pemda|pemerintah|pengadaan|peraturan|perda|perpres|pkh|pns|pp|prabowo|presiden|proyek|proyek nasional|reformasi birokrasi|regulasi|ruu|sekretariat|subsidi|tender|undang-undang|uu|walikota|wapres
0,Nasional & Pemerintahan,0_extra com_nasional_extra bukan_extra n,9,umim extra,0.021893,,0/64,anggaran|aparatur|apbd|apbn|asn|badan|bansos|bantuan sosial|birokrasi|blt|bpk|bpn|bps|brin|bupati|daerah|direktorat|dirjen|dprd|e-government|gubernur|ibu kota nusantara|ibukota|ikn|infrastruktur nasional|inpres|jokowi|kabinet|kebijakan|kemendag|kemendikbud|kemenhub|kemenkes|kementan|kementerian|keppres|komisi|lembaga|menteri|otonomi|pembangunan|pemda|pemerintah|pengadaan|peraturan|perda|perpres|pkh|pns|pp|prabowo|presiden|proyek|proyek nasional|reformasi birokrasi|regulasi|ruu|sekretariat|subsidi|tender|undang-undang|uu|walikota|wapres
0,Nasional & Pemerintahan,0_extra com_nasional_extra bukan_extra n,10,covid covid,0.016473,,0/64,anggaran|aparatur|apbd|apbn|asn|badan|bansos|bantuan sosial|birokrasi|blt|bpk|bpn|bps|brin|bupati|daerah|direktorat|dirjen|dprd|e-government|gubernur|ibu kota nusantara|ibukota|ikn|infrastruktur nasional|inpres|jokowi|kabinet|kebijakan|kemendag|kemendikbud|kemenhub|kemenkes|kementan|kementerian|keppres|komisi|lembaga|menteri|otonomi|pembangunan|pemda|pemerintah|pengadaan|peraturan|perda|perpres|pkh|pns|pp|prabowo|presiden|proyek|proyek nasional|reformasi birokrasi|regulasi|ruu|sekretariat|subsidi|tender|undang-undang|uu|walikota|wapres
1,Nasional & Pemerintahan,1_kompas_kompas com_jakarta kompas_extra,1,kompas,0.113087,gubernur|presiden,2/64,anggaran|aparatur|apbd|apbn|asn|badan|bansos|bantuan sosial|birokrasi|blt|bpk|bpn|bps|brin|bupati|daerah|direktorat|dirjen|dprd|e-government|gubernur|ibu kota nusantara|ibukota|ikn|infrastruktur nasional|inpres|jokowi|kabinet|kebijakan|kemendag|kemendikbud|kemenhub|kemenkes|kementan|kementerian|keppres|komisi|lembaga|menteri|otonomi|pembangunan|pemda|pemerintah|pengadaan|peraturan|perda|perpres|pkh|pns|pp|prabowo|presiden|proyek|proyek nasional|reformasi birokrasi|regulasi|ruu|sekretariat|subsidi|tender|undang-undang|uu|walikota|wapres
1,Nasional & Pemerintahan,1_kompas_kompas com_jakarta kompas_extra,2,kompas com,0.112643,gubernur|presiden,2/64,anggaran|aparatur|apbd|apbn|asn|badan|bansos|bantuan sosial|birokrasi|blt|bpk|bpn|bps|brin|bupati|daerah|direktorat|dirjen|dprd|e-government|gubernur|ibu kota nusantara|ibukota|ikn|infrastruktur nasional|inpres|jokowi|kabinet|kebijakan|kemendag|kemendikbud|kemenhub|kemenkes|kementan|kementerian|keppres|komisi|lembaga|menteri|otonomi|pembangunan|pemda|pemerintah|pengadaan|peraturan|perda|perpres|pkh|pns|pp|prabowo|presiden|proyek|proyek nasional|reformasi birokrasi|regulasi|ruu|sekretariat|subsidi|tender|undang-undang|uu|walikota|wapres
1,Nasional & Pemerintahan,1_kompas_kompas com_jakarta kompas_extra,3,jakarta kompas,0.105801,gubernur|presiden,2/64,anggaran|aparatur|apbd|apbn|asn|badan|bansos|bantuan sosial|birokrasi|blt|bpk|bpn|bps|brin|bupati|daerah|direktorat|dirjen|dprd|e-government|gubernur|ibu kota nusantara|ibukota|ikn|infrastruktur nasional|inpres|jokowi|kabinet|kebijakan|kemendag|kemendikbud|kemenhub|kemenkes|kementan|kementerian|keppres|komisi|lembaga|menteri|otonomi|pembangunan|pemda|pemerintah|pengadaan|peraturan|perda|perpres|pkh|pns|pp|prabowo|presiden|proyek|proyek nasional|reformasi birokrasi|regulasi|ruu|sekretariat|subsidi|tender|undang-undang|uu|walikota|wapres
